,Question
4953,"Both England's King George V & FDR put their stamp of approval on this ""King of Hobbies"""
6337,"In retaliation for Viking raids, this ""Unready"" king of England attacks Norse areas of the Isle of Man"
9191,This king of England beat the odds to trounce the French in the 1415 Battle of Agincourt
11710,"This Scotsman, the first Stuart king of England, was called ""The Wisest Fool in Christendom"""
13454,It's the number that followed the last king of England named William
14445,"Nelson said, ""England expects that every man will do"" this & died thanking God he did his"
14912,"This country's King Louis IV was nicknamed ""Louis From Overseas"" because he was raised in England"
16475,There was good kinging in the 800s--Leo the Wise ruled the Byzantine Empire while England had Alfred the this
18076,In 1199 this crusader king of England was mortally wounded while besieging the castle of Chalus
19104,"Name of 8 kings of England since 1272, it was also General Lee's middle name"
19168,"He was the only king of England to have ""The Great"" tacked on to his name"
21511,this man and his son ruled England following the execution of King Charles I
23810,William the Conqueror was crowned King of England in Westminster Abbey on Christmas Day in this year
23979,"This ""unready"" king of England lost most of his country to Sven Forkbeard, the king of Denmark"
26780,This king of England was killed by a Norman arrow at the Battle of Hastings
27380,In 1066 he became the last Saxon king to rule England
27555,This member of the Medici family was the mother-in-law of England's King Charles I
28570,The IV king of this name (following the Norman Conquest) brought the House of York to England's throne
33174,This king of England was a leader of the Third Crusade
33294,"(Sarah of the Clue Crew delivers the clue from the Bayeux Cathedral in France.)  Despite taking an oath to assure another succession, Harold is crowned King of England; the tapestry indicated it was <a href=""http://www.j-archive.com/media/2008-12-18_J_08.jpg"" target=""_blank"">Stigant</a>, this archbishop, who performed the ceremony"
35478,"Born in Bedfordshire, England in 1628, he was making ""Progress"" from the start"
35869,"Before he became king of England, George VI served in the Royal Navy & fought in the Battle of Jutland during this war"
36360,"(<a href=""http://www.j-archive.com/media/2005-05-30_DJ_26.jpg"" target=""_blank"">Jimmy of the Clue Crew holds a block of cheese</a>.)  I'm in this Midwest state famous for making cheddar, which actually originated in a village in England"
37550,They named a knot for this Duke who was briefly king of England
41148,"This French king recognized William of Orange as William II, King of England, under the terms of 1697's Treaty of Ryswick"
41357,"England's King Henry VIII had 3 wives named Catherine:  Catherine Howard, Catherine of Aragon & this one"
43122,The father of England's King Edward VI
47814,This steak sauce was created for King George IV of England
49994,"Elizabeth I's half-brother, he reigned before her as King of England from 1547 to 1553"
