,Show_Number,Air_Date,Round,Category,Value,Question,Answer,Float_Value,,
56,5957,2010-07-06,Jeopardy!,"GEOGRAPHY ""E""",$200,It's the largest kingdom in the United Kingdom,England,200,,
399,2825,1996-12-06,Double Jeopardy!,POETS,$400,"Between 1842 & 1885, he repeatedly revised his ""Idylls of the King""",Alfred Lord Tennyson,400,,
545,3036,1997-11-10,Jeopardy!,ON THE RADIO,$200,"Robin Quivers is the radio consort of this self-proclaimed  ""King of All Media""",Howard Stern,200,,
811,4335,2003-06-06,Double Jeopardy!,"""S""-OTERICA",$400,"Examples of this TV format include ""Leave It to Beaver"" & ""The King of Queens""",sitcom,400,,
1074,4085,2002-05-10,Jeopardy!,CENTRAL PARK,$400,"Central Park has a statue of King Wladyslaw II Jagiello of this country, who was also Grand Duke of Lithuania",Poland,400,,
1132,1279,1990-03-08,Jeopardy!,THE MIDDLE AGES,$200,"Eleanor of Aquitaine accompanied her 1st husband, King Louis VII, on the 2nd one of these in 1147",Crusades,200,,
1171,1279,1990-03-08,Double Jeopardy!,MYTHOLOGICAL PAIRS,$600,"He travels to Ireland to ask the hand of the princess Isolde for his uncle, King Mark of Cornwall",Tristan,600,,
1467,4960,2006-03-17,Double Jeopardy!,BACK IN 1906,$800,"Now take this question... please!  This ""King of the One Liners"" was born March 16, 1906",Henny Youngman,800,,
1474,4960,2006-03-17,Double Jeopardy!,FROM THE LATIN,$1200,"It's from the Latin for ""talking to oneself""; an example is heard <a href=""http://www.j-archive.com/media/2006-03-17_DJ_23.mp3"">here</a>  <i>""I'll have grounds more relative than this. The play's the thing wherein I'll catch the conscience of the King""</i>",a soliloquy,1200,,
1588,5795,2009-11-20,Double Jeopardy!,INTERNATIONAL NAMES,$800,"Alex Salmond, first minister of this country, wants to take it out of the United Kingdom",Scotland,800,,
2271,5630,2009-02-13,Jeopardy!,PROPHET SHARING,$400,In I Kings this fiery Biblical prophet won a contest with the prophets of Baal,Elijah,400,,
2765,3815,2001-03-16,Jeopardy!,ARTISTS & THEIR WORKS,$400,Conrad Witz depicted this wealthy queen with King Solomon in the 15th C. work seen here,Queen of Sheba,400,,
2780,3815,2001-03-16,Double Jeopardy!,LITERARY CHARACTERS,"$1,000","In ""A Connecticut Yankee in King Arthur's Court"", his character puts Hank Morgan to sleep for 1,300 years",Merlin,1000,,
2968,3697,2000-10-03,Double Jeopardy!,BALLET,$800,"""The Nutcracker"" often features a pas de deux bythe prince and this fairy who rules the Kingdom of Sweets",the Sugarplum Fairy,800,,
3035,5079,2006-10-12,Double Jeopardy!,CATALINA,$2000,"(<a href=""http://www.j-archive.com/media/2006-10-12_DJ_25.jpg"" target=""_blank"">Cheryl of the Clue Crew reports from on high on Catalina Island, CA.</a>)  Catalina's only city shares its name with this island of the King Arthur legends",Avalon,2000,,
3335,5002,2006-05-16,Double Jeopardy!,REDUCED SHAKESPEARE,$1600,"Here's the title king of this play: <a href=""http://www.j-archive.com/media/2006-05-16_DJ_25.wmv""><i>""Plots have I laid.  Wear this ring!"" ""Oh, pretty!"" ""King!  Good-night."" ""Ow!"" ""Marriage.  Ah!"" ""Thank you.""</i></a>",Richard III,1600,,
3493,4751,2005-04-11,Double Jeopardy!,NOVELS OF THE PAST,$400,"In Barry Unsworth's ""The Songs of the Kings"", the Greek fleet bound for here is trapped by unfavorable winds",Troy,400,,
3612,4582,2004-07-06,Jeopardy!,"GIVE ME AN ""A""!",$1000,"The name Zog is not as much in vogue as it once was, when King Zog I ruled this European country",Albania,1000,,
3707,4398,2003-10-22,Jeopardy!,BODIES OF WATER,$200,In 1975 the United Kingdom began piping oil from this sea to its shores,the North Sea,200,,
3861,6239,2011-11-03,Double Jeopardy!,IT CAME FROM THE NEW WORLD,$400,"In 1604 King James I called this plant a ""perpetual stinking torment"" & ""dangerous to the lungs""; he was right",tobacco,400,,
4124,5797,2009-11-24,Double Jeopardy!,"""PH""UN WORDS",$1600,"Now meaning those who are hostile to the arts, in biblical times it was a people subdued by King David",a Philistine,1600,,
